,text,label
128,"#India’s presidency of the #G20 is an opportunity to promote the #GlobalSouth's #development narratives and leverage its status as the world's fastest-growing major #economy to drive the G20's agenda, notes @soumyabh_swears or-f.org/128689",Positive
129,"With commitment, collaboration, and a comprehensive approach, the #G20 has the capacity to guide us toward a future where #mentalhealth occupies a central place in global priorities, say @SavyDsouza, @JestinaRachel, @SanjayPattansh1, @oommen or-f.org/128744",Positive
130,"From trust deficit to trust management, #G20 New Delhi Leaders’ Declaration brings ideas, ideologies & individuals on a single platform. Given the state of geopolitics 2023, this is a big achievement & model for successful multilateralism: @gchikermane or-f.org/128741",Positive
131,"#India’s revolutionary leaps in financial inclusion has led it to the paradigm of #women-led development, which can become the defining mantra of this age. #G20 must pick up the baton & keep pushing for it, says @sunaina_kumar or-f.org/128784",Positive
132,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
133,"Once the pomp, ceremony & rhetoric have been removed, #AfricanUnion needs to evaluate its readiness to assume greater responsibilities at the global level & analyse how it can optimise its #G20 membership to benefit #Africa: Samir Bhattacharya or-f.org/128789",Negative criticism
134,"In a post-#COVID world that has witnessed critical #supplychain disruption, the #G20 Generic Mapping Framework for #GVCs proposes coordination and preparedness to limit future disruption of value chains, writes @UrviTembey or-f.org/128705",Negative criticism
135,"The #G20’s focus towards Small Island Developing States needs to be two-pronged, with an emphasis on #debt governance and #climatefinance, posits @soumyabh_swears or-f.org/128833",Negative criticism
136,"🌎Gear up as the panel discussion takes place as part of a webinar being held to discuss the road ahead in respect of key committments and outcomes adopted in the Leaders' Summit and the G20 New Delhi Leaders Declaration 2023. ✨

#PMVishwakarma #MSDE #Artisans #SkillIndia #Skills4All",Negative
137,"The prominence of the #G20 and #India’s pivotal role within it holds significant implications for #poverty alleviation, note @DrNilanjanG & @soumyabh_swears or-f.org/128927",Negative criticism
138,"Through a combination of #digital transformation, financing, #sustainable agriculture, healthcare strengthening, and education, the #G20 nations show strong determination towards shaping a sustainable future: @soumyabh_swears or-f.org/128985",Positive
139,"Under #India’s leadership during the #G20 presidency, the focus has shifted from mere women’s development to #women-led #development, writes @soumyabh_swears or-f.org/129557",Positive
140,"Saudi Arabia Achieves a Leading Position in the Digital Regulatory Maturity Index, Advancing the G20 Countries.
spa.gov.sa/en/N1991942
#SPAGOV",Positive
141,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
142,"Being a #multilateral forum of international #economic cooperation, the #G20 can serve as a suitable platform for creating a dedicated fund for #climate migrants, highlights Priyanshu Mehta or-f.org/129681",Positive
143,"Momentum on implementation of #G20 New Dealers Declaration continues unabated . Participated in Workshop on Transformative Technology- Promoting Development, Growth and Innovation through DPIs organised by @NITIAayog  & @GoI_MeitY . India has played a key role in defining DPIs and creating its framework. As envisaged by PM @narendramodi we now plan to vigorously take it to the global south. I also emphasised it’s  convergence with AI so that benefits to common man can be accelerated. Also highlighted the need for constant vigil through cyber security.",Positive
144,"Saudi Arabia Achieves “Leading” Rank in the @ITU’s Digital Regulatory Maturity Index, placing it ahead of the G20 countries.

For more:
cst.gov.sa/sl/j24",Negative criticism
145,"""A sequel to what transpired during the #G20 meetings, the workshop highlights India’s DPIs which are a significant contribution India is offering to the world and are an important element of the New Delhi Leaders’ Declaration (NDLD).""  

#NITIG20WorkshopSeries #ThinkTankThematic",Negative
146,".@NITIAayog to organize Workshop on “Accelerating Progress on Sustainable Development Goals (SDGs)” as mentioned in the G20 New Delhi Leaders' Declaration

Details: pib.gov.in/PressReleasePage.…",Negative
147,"#KeyHighlights 
Address by #G20 Sherpa @amitabhk87 at the Workshop on Transformative Technology- Promoting Development, Growth and Innovation through #DPIs",Positive
148,"Under #India’s leadership during the #G20 presidency, the focus has shifted from mere women’s development to #women-led #development, writes @soumyabh_swears or-f.org/129557",Positive
149,"As reliable partners in #GlobalValueChains, #India and other #G20 countries play a key role in shaping the discourse around creating robust #valuechains, notes @UrviTembey or-f.org/128705",Positive
150,"#KeyHighlights

Address by Shri V K Saraswat, Member, Niti Aayog at the Workshop on Transformative Technology- Promoting Development, Growth and Innovation through DPIs

➡️ A sequel to what transpired during the G20 meetings, the workshop highlights India’s DPIs which are a significant contribution India is offering to the world and are an important element of the New Delhi Leaders’ Declaration (NDLD).

#NITIG20WorkshopSeries #ThinkTankThematic #DPIs #G20India @GoI_MeitY @NITIAayog @PMOIndia",Negative
151,"Guess the initiative promoting sustainable living and responsible consumption for a greener future!

#G20",Positive
152,"#KeyHighlights 

Address by G20 Sherpa Shri Amitabh Kant (@amitabhk87) at the Workshop on Transformative Technology- Promoting Development, Growth and Innovation through DPIs",Negative
153,"#B20India recommends key policy actionable towards setting up of a G20 innovation body to facilitate startup funding as well as incubation.
Access the communique to read the recommendations, in detail >> b20india2023.org/b20Document
Stay tuned #B20India
#B20India #G20India2023
#B20India2023 #B20GlobalDialogue
#G20India #G20 #B20
@g20org @Der_BDI @UIAok @keidanren @Confindustria @KADIN_Indonesia @The_AiGroup @CdnChamberofCom @BusinessEurope @MEDEF_I @KOISRA @USChamber @TUSIAD @BusinessatOECD @harshvshringla @amitabhk87",Negative criticism
154,Delighted to deliver the Convocation Address at MIT World Peace University in Pune and speak on PM @narendramodi vision of #G20 and its execution across States. Was a pleasure to honour distinguished scientist @rameshmashelkar and interact with the students on the occasion.,Positive
155,"#KeyHighlights 

Address by G20 Sherpa Shri Amitabh Kant (@amitabhk87) at the Workshop on Transformative Technology- Promoting Development, Growth and Innovation through DPIs

➡️ There is a vacuum in the DPI architecture globally. Cashless paperless transactions have been possible in India because we created that kind of DPI for the people here. The challenge is how to take it across the 133 nations where 4 Bn people do not have a digital identity and 3 Bn do not have a bank account.

➡️ India needs to be in the driver’s seat and get global organisations to put in the resources to take it around the world. A Global DPI Consortium may be created.

➡️ There is a need for a Technology Setting Standards Organisation which will create and manage standards for the DPIs.

➡️ DPIs need to be linked to AI in a very big way to keep it relevant for the future.

➡️ Cybersecurity is paramount and will be the key to the future. It is important to take care of it to manage the whole DPI framework.

#NITIG20WorkshopSeries #ThinkTankThematic #DPIs #G20India @GoI_MeitY @NITIAayog @PMOIndia",Positive
156,It's clear that Modi's priorities may not align with the needs of the hungry and poor. And the incident with the curtains during the G20 visit was truly shameful. Let's keep questioning and demanding accountability for the betterment of our nation! #IndiaDeservesBetter,Negative criticism
157,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
158,"The prominence of the #G20 and #India’s pivotal role within it holds significant implications for #poverty alleviation, note @DrNilanjanG & @soumyabh_swears or-f.org/128927",Negative criticism
159,"Through a combination of #digital transformation, financing, #sustainable agriculture, healthcare strengthening, and education, the #G20 nations show strong determination towards shaping a sustainable future: @soumyabh_swears or-f.org/128985",Positive
160,"Global consensus for a brighter future! The #P20Summit, under India's #G20 Chairmanship, unites Parliament Speakers from G-20 and Pan African countries in the spirit of 'One Earth, One Family, One Future.'

📎newindiasamachar.pib.gov.in
#NewIndiaSamachar",Negative
161,"G20 Think Tank Workshop Series

Transformative Technology- Promoting Development, Growth and Innovation Through DPIs

Watch it #LIVE at: youtube.com/live/pGrlqxw7tWc…
#G20India #G20DEWG #DPI #DigitalIndia
@AshwiniVaishnaw @Rajeev_GoI @amitabhk87 @abhish18 @NITIAayog",Negative
162,"#G20 Think Tank Workshop Series

Transformative Technology- Promoting Development, Growth and Innovation Through #DPIs

Watch it #LIVE at: youtube.com/live/pGrlqxw7tWc…
#G20India #G20DEWG #DPI #DigitalIndia",Negative
163,"We are #LIVE

▶️ youtube.com/live/pGrlqxw7tWc…

✨G20 Think Tank Workshop Series - Transformative Technology- Promoting Development, Growth and Innovation Through DPIs

#G20India #G20DEWG #DPI #DigitalIndia @GoI_MeitY",Negative criticism
164,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
165,"✨ G20 Think Tank Workshop Series✨

Transformative Technology- Promoting Development, Growth and Innovation Through DPIs

Watch it #LIVE today (Nov 5) at youtube.com/DigitalIndiaoffi…

⏰ 10 AM onwards

#G20India #G20DEWG #DPI #DigitalIndia @GoI_MeitY @AshwiniVaishnaw @Rajeev_GoI @amitabhk87 @abhish18 @NITIAayog",Negative
166,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
167,#DelhiAirQuality is about a lack of Will for a long term solution. It’s ridiculous that the capital of India has the worst air in the world. Just two months ago we were celebrating the  #G20 cover up. Welcome to the reality where even clean air is politicised.,Negative criticism
168,"In a post-#COVID world that has witnessed critical #supplychain disruption, the #G20 Generic Mapping Framework for #GVCs proposes coordination and preparedness to limit future disruption of value chains, writes @UrviTembey or-f.org/128705",Negative criticism
169,"Under #India’s leadership during the #G20 presidency, the focus has shifted from mere women’s development to #women-led #development, writes @soumyabh_swears or-f.org/129557",Positive
170,"The #NewDelhi Declaration’s #policy commitments in the #health sector emphasise the role of the #G20 in revising the existing financial and global #health governance discussions, note @SanjayPattansh1, Aniruddha Inamdar, Kiran Bhatt & @helmut_brand or-f.org/130656",Positive
171,"Acknowledging the potential and risks associated with #stablecoins, the #G20 nations and international organisations are adopting a proactive approach to #regulating stablecoins, explains Sauradeep Bag or-f.org/128182",Negative criticism
172,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
173,"In order to participate in a global forum like the #G20, the #AfricanUnion would need to hold unified viewpoints on economic and development concerns pertaining to the continent, explains Samir Bhattacharya or-f.org/128789",Positive
174,"The critical task before the #G20 is to prevent a spate of sovereign #debt crises that will harm the international financial system and the #sustainabledevelopment agenda, notes @soumyabh_swears or-f.org/128833",Negative criticism
175,"The #Indian #G20 presidency has placed #inclusivity at the forefront of its agenda, seeking to amplify public concerns within high-level discussions, highlight @DrNilanjanG & @soumyabh_swears or-f.org/128927",Negative criticism
176,"SIDBI participated in the G20 Think Tank Workshop for implementing Goa Roadmap for Tourism adopted by G20 Leadership. Dr. Subhransu Acharya, CGM spoke about need for BDS interventions and innovative financing options for MSMEs in tourism sector.

@minmsme @DFS_India @PMOIndia",Negative criticism
177,"#India & other developing countries now carefully balance the need to portray themselves as #climate apostles and climate victims in multilateral platforms such as the #G20, write Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
178,"A pleasure to participate in the #G20 Think Tank Workshop Series- Implementing Goa roadmap for Tourism organised by @NITIAayog @tourismgoi under the guidance of @PMOIndia 
In the years ahead tourism will be one the most important engines of our growth. 
#NITIG20WorkshopSeries",Positive
179,"MEA Release on EAM's Italy visit says focus was on G20 Presidency in Delhi, Italy’s upcoming G7 Presidency, India-EU relations, Mediterranean and the Indo-Pacific, the conflict in Ukraine, and the situation in West Asia.

mea.gov.in/press-releases.ht…",Negative
180,"Along with #IMEC, the #G20 Summit saw the #EU announce its plans for a “Trans-#African Corridor,” a transportation network linking #Angola, #Zambia, and the Democratic Republic of the #Congo, writes @raji143 or-f.org/129620",Negative criticism
181,"As reliable partners in #GlobalValueChains, #India and other #G20 countries play a key role in shaping the discourse around creating robust #valuechains, notes @UrviTembey or-f.org/128705",Positive
182,"As a part of its G20 Think Tank Workshop Series, @NITIAayog is organising a workshop on ""Implementing Goa Roadmap for Tourism"" on November 04, 2023, with India Foundation and @tourismgoi as its knowledge partners.",Positive
183,"Recent strides in addressing the 3 environmental planetary crises give us hope.

I call on all nations, especially the G20, to raise their ambition on mitigation & adaptation at #COP28 & to support ambitious action at #UNEA6 in Nairobi early next year. unep.org/news-and-stories/sp…",Positive
184,"Using data for development!

@UNDP_India is supporting @NITI_Aayog to translate G20 New Delhi Leader’s declaration into action. 🇮🇳 can capitalize on the country's data revolution and turn it into a revolution for sustainable development.",Negative
185,"As reliable partners in #GlobalValueChains, #India and other #G20 countries play a key role in shaping the discourse around creating robust #valuechains, notes @UrviTembey or-f.org/128705",Positive
186,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
187,"#India’s presidency of the #G20 is an opportunity to promote the #GlobalSouth's #development narratives and leverage its status as the world's fastest-growing major #economy to drive the G20's agenda, notes @soumyabh_swears or-f.org/128689",Positive
188,"With commitment, collaboration, and a comprehensive approach, the #G20 has the capacity to guide us toward a future where #mentalhealth occupies a central place in global priorities, say @SavyDsouza, @JestinaRachel, @SanjayPattansh1, @oommen or-f.org/128744",Positive
189,"From trust deficit to trust management, #G20 New Delhi Leaders’ Declaration brings ideas, ideologies & individuals on a single platform. Given the state of geopolitics 2023, this is a big achievement & model for successful multilateralism: @gchikermane or-f.org/128741",Positive
190,"#India’s revolutionary leaps in financial inclusion has led it to the paradigm of #women-led development, which can become the defining mantra of this age. #G20 must pick up the baton & keep pushing for it, says @sunaina_kumar or-f.org/128784",Positive
191,"Once the pomp, ceremony & rhetoric have been removed, #AfricanUnion needs to evaluate its readiness to assume greater responsibilities at the global level & analyse how it can optimise its #G20 membership to benefit #Africa: Samir Bhattacharya or-f.org/128789",Negative criticism
192,"The #G20’s focus towards Small Island Developing States needs to be two-pronged, with an emphasis on #debt governance and #climatefinance, posits @soumyabh_swears or-f.org/128833",Negative criticism
193,"The prominence of the #G20 and #India’s pivotal role within it holds significant implications for #poverty alleviation, note @DrNilanjanG & @soumyabh_swears or-f.org/128927",Negative criticism
194,"Through a combination of #digital transformation, financing, #sustainable agriculture, healthcare strengthening, and education, the #G20 nations show strong determination towards shaping a sustainable future: @soumyabh_swears or-f.org/128985",Positive
195,"Government & @metpoliceuk rhetoric reminds me of the 2009 G20 when they were """"up for it, and up to it"".

And killed Ian Tomlinson.

Abuse of power incoming.",Negative criticism
196,"#Nigeria | @MinColonna met with her 🇳🇬 colleague @YusufTuggar

Discussions converged on:
→ the reform of global governance #G20 #UNSC #4P #NFP
→ Bilateral priorities: investment, student mobility, training, culture and digital creation
→ regional & international crises",Negative criticism
197,"On Day 2 of the G20 Standards dialogue, in the Session on ""Technical Regulations and Good Regulatory Practices,""  Ms. Atsuko Okuda, Regional Director, ITU Regional Office for Asia and the Pacific, (1/4)",Positive
198,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
199,"A new approach to “#internet internationalism,” spearheaded by global institutions like the #G20, is needed to ensure stability in the digital age. or-f.org/127163",Negative criticism
200,"Defining #DPI is contested terrain. With multiple concepts and uses embedded within them, #G20 can play a leadership role in building a common understanding or-f.org/127251",Negative
201,"Under #India’s leadership during the #G20 presidency, the focus has shifted from mere women’s development to #women-led #development, writes @soumyabh_swears or-f.org/129557",Positive
202,"@ITU is proud to be a part of the G20 Standard’s Dialogue 2023, organised by the Bureau of Indian Standards, under India’s Presidency on 2 November 2023. Mr. Seizo Onoe, Director, TSB at ITU opened the G20 Standards Dialogue in New Delhi virtually. #G20India @g20org",Positive
203,Governor flagged off Green Vehicles on the eve of the seminar on “The G20 Leaders Delhi Declaration and Emerging World Order – India’s Cutting-edge Energy Technologies on Clean Energy” at Alagappa University.,Positive
204,"The G7/G20 Advocacy Alliance collaborates to shape the #G20 Summit's agenda.

This year, @MSHHealthImpact partnered with InterAction to lead the Alliance's Sustainable Finance team.

How did our recommendations fare in the joint declaration? 🔗⬇️
interaction.org/blog/did-the…",Negative criticism
205,"Governor Ravi inaugurated the Seminar on “G20 Leaders Delhi Declaration and Emerging World Order – India’s Cutting-edge Energy Technologies on Clean Energy"" at Alagappa University, Karaikudi.",Positive
206,"An animated discussion today with leading think tanks of Italy. 

The agenda ranged from G20 and Gobal South to West Asia, Indo-Pacific, strategic Europe and changing global order.",Negative
207,"This #B20India recommendation suggests creation of a centre of excellence to promote the use of biomaterial and bioenergy among G20 nations. It also recommends establishment of a marketplace for biomaterials.
Access the communique to read the recommendations, in detail >> b20india2023.org/b20Document
Stay tuned #B20India
#B20India #G20India2023
#B20India2023 #B20GlobalDialogue
#G20India #G20 #B20
@g20org @Der_BDI @UIAok @keidanren @Confindustria @KADIN_Indonesia @The_AiGroup @CdnChamberofCom @BusinessEurope @MEDEF_I @KOISRA @USChamber @TUSIAD @BusinessatOECD @harshvshringla @amitabhk87",Negative criticism
208,"Acknowledging the potential and risks associated with #stablecoins, the #G20 nations and international organisations are adopting a proactive approach to #regulating stablecoins, explains Sauradeep Bag or-f.org/128182",Negative criticism
209,"Minister @PiyushGoyal addressing the G20 Standards Dialogue

youtube.com/live/ivWjPG28Uu4…",Negative
210,We needed the G20 meet now,Positive
211,"G20 Standards Dialogue started yesterday at New Delhi.
The theme is “Zero Defect Zero Effect”",Negative
212,"In a post-#COVID world that has witnessed critical #supplychain disruption, the #G20 Generic Mapping Framework for #GVCs proposes coordination and preparedness to limit future disruption of value chains, writes @UrviTembey or-f.org/128705",Negative criticism
213,"#WorldFoodIndia2023
Delegates at G20 relished millets (Shree Anna) based food: PM Modi
via NaMo App",Positive
214,"The #G20India Presidency truly set an ambitious & inclusive global development agenda, all thanks to the unparalleled vision of PM @narendramodi! Congratulations to @NITIAayog for curating the NITI G20 Think Tank Workshop Series, which will feature rich discussions on India’s cross cutting G20 priorities.",Positive
215,India's G20 success. Record number of quality deliverables. 87 outcomes and 118 annexed documents. All by consensus without a single footnote. Determined to take them forward at all relevant fora.,Positive
216,"'India Foundation Journal: November-December 2023'

Issue Focus - ""The G20 Summit: Important Takeaways""

Read here: indiafoundation.in/if-journa…",Negative
217,Dr. @EmergingRoy delivered a lecture on the G20 Summit's impact on India's global leadership and the creation of a lasting legacy. He highlighted India's potential to make a substantial contribution to the global economy by achieving meaningful results.,Positive
218,"wait let me get this straight.

Elvish Yadav is a popular youtuber, dude from Bigg boss, person who was felicitated by BJP netas multiple times and was accused of stealing Gamlas from the streets during G20.

He was hosting a rave party because... why not. normal behavior for a super popular dudebro like thim.

Elvish asked some friends to get posionous SNAKES to the party, whose venom they would use during the party to... i don't know, get high?

He and his gang were caught by the Noida police while they were doing this nonsense.

srsly WTF IS THIS STORY!

nuts 🤯",Negative criticism
219,"Under India’s G-20 Presidency, the importance of One Health approach was unanimously acknowledged.

Read more: bit.ly/46V47nk",Positive
220,Delegates at G20 relished millets (Shree Anna) based food: PM Modi,Positive
221,"China advocates and practices #multilateralism. From the 2014 #APEC Summit in Beijing to the #G20 Hangzhou Summit, the #BRICS Summit in Xiamen to the #SCO Summit in Qingdao, China has hosted a series of major diplomatic events to further promote multilateral cooperation. bit.ly/3tcqENe",Positive
222,"#India’s economic prowess, historical commitment, diverse representation, advocacy for vulnerable nations & multifaceted diplomacy collectively position it favourably as a representative of Global South within #G20: @DrNilanjanG & @soumyabh_swears or-f.org/128927",Positive
223,".@vikrom_mathur writes on how #India’s evolving stature in the global arena, underscored by its role in the #G20 and ties with the #AfricanUnion, demands reconsidering the South-South Cooperation framework. or-f.org/128864",Negative criticism
224,"The #G20 needs to push further for developed countries to shift from a ‘rule-setting’ role to actively financing the #GlobalSouth’s push to reach better levels of #environmental compliance, argues @soumyabh_swears or-f.org/128833",Negative criticism
225,"Through collaborative efforts, integration of strategic approaches & strategic utilisation of #Brazil’s presidency, #G20 can usher in significant progress in global #mentalhealth governance: @SavyDsouza, @JestinaRachel, @SanjayPattansh1, @oommen or-f.org/128744",Positive
226,"Permanent membership at #G20 will surely bring #Africa some much-needed political & economic clout. Now, #AfricanUnion must utilise this opportunity to lead Africa towards a better & more prosperous future, opines Samir Bhattacharya or-f.org/128789",Positive
227,"The accession of the #AfricanUnion into the #G20 has made the most important grouping of nations stronger. In 2023, this quad of political achievements is beyond expectations. @gchikermane writes or-f.org/128741",Positive
228,"Under its presidency, #India took an approach to mainstream #gender into #G20 discussions. It has promoted #women-led development as a distinct concept, points out @sunaina_kumar or-f.org/128784",Positive
229,"Under its presidency, #India took an approach to mainstream #gender into #G20 discussions. It has promoted #women-led development as a distinct concept, points out @sunaina_kumar or-f.org/128784",Positive
230,"Permanent membership at #G20 will surely bring #Africa some much-needed political & economic clout. Now, #AfricanUnion must utilise this opportunity to lead Africa towards a better & more prosperous future, opines Samir Bhattacharya or-f.org/128789",Positive
231,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
232,"The accession of the #AfricanUnion into the #G20 has made the most important grouping of nations stronger. In 2023, this quad of political achievements is beyond expectations. @gchikermane writes or-f.org/128741",Positive
233,"The #G20 needs to push further for developed countries to shift from a ‘rule-setting’ role to actively financing the #GlobalSouth’s push to reach better levels of #environmental compliance, argues @soumyabh_swears or-f.org/128833",Negative criticism
234,".@vikrom_mathur writes on how #India’s evolving stature in the global arena, underscored by its role in the #G20 and ties with the #AfricanUnion, demands reconsidering the South-South Cooperation framework. or-f.org/128864",Negative criticism
235,"Through collaborative efforts, integration of strategic approaches & strategic utilisation of #Brazil’s presidency, #G20 can usher in significant progress in global #mentalhealth governance: @SavyDsouza, @JestinaRachel, @SanjayPattansh1, @oommen or-f.org/128744",Positive
236,"As reliable partners in #GlobalValueChains, #India and other #G20 countries play a key role in shaping the discourse around creating robust #valuechains, notes @UrviTembey or-f.org/128705",Positive
237,"#India & other developing countries now carefully balance the need to portray themselves as #climate apostles and climate victims in multilateral platforms such as the #G20, write Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
238,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
239,Which World Cup matches are now pending in the north? Should teams be playing with this kind of AQI? Everything was kept tight till G20 and now seems we are back to the usual sh*t. What a shame. SVP #AirPollution #smog #DelhiAirQuality #PunjabAQI,Negative criticism
240,"It’s been a busy fall for our EG teams!

Our expert Tanya Singh helped kick start New Zealand’s visit to India before the G20 proceedings to discuss a larger engagement for trade, food, biosecurity and tourism.",Negative
241,‘G20 Standards Dialogue’ starts off under India’s Presidency pib.gov.in/PressReleasePage.…,Positive
242,"A new approach to “#internet internationalism,” spearheaded by global institutions like the #G20, is needed to ensure stability in the digital age. or-f.org/127163",Negative criticism
243,"#India’s presidency of the #G20 is an opportunity to promote the #GlobalSouth's #development narratives and leverage its status as the world's fastest-growing major #economy to drive the G20's agenda, notes @soumyabh_swears or-f.org/128689",Positive
244,"Addressing the media at the G20 summit. New Delhi, India.
Bringing world leaders, to the world.
Reuters: The Source.
ow.ly/9iy450PUIhv",Negative
245,"Addressing the media at the G20 summit. New Delhi, India.
Bringing world leaders, to the world.
Reuters: The Source.
ow.ly/JaEP50PUIbY",Negative
246,"Defining #DPI is contested terrain. With multiple concepts and uses embedded within them, #G20 can play a leadership role in building a common understanding or-f.org/127251",Negative
247,"With commitment, collaboration, and a comprehensive approach, the #G20 has the capacity to guide us toward a future where #mentalhealth occupies a central place in global priorities, say @SavyDsouza, @JestinaRachel, @SanjayPattansh1, @oommen or-f.org/128744",Positive
248,"From trust deficit to trust management, #G20 New Delhi Leaders’ Declaration brings ideas, ideologies & individuals on a single platform. Given the state of geopolitics 2023, this is a big achievement & model for successful multilateralism: @gchikermane or-f.org/128741",Positive
249,"#India’s revolutionary leaps in financial inclusion has led it to the paradigm of #women-led development, which can become the defining mantra of this age. #G20 must pick up the baton & keep pushing for it, says @sunaina_kumar or-f.org/128784",Positive
250,"📆 Save the date! 🌏 Aligning with 🇮🇳 G20 Presidency theme, ‘Vasudhaiva Kutumbakam,’ the 8th #AyurvedaDay on November 10 focuses on 'Ayurveda for One Health - Ayurveda for everyone on every day.' Check out details at ayurvedaday.org.in/. Press release shorturl.at/rEGOW",Positive
251,"The #NewDelhi Declaration’s #policy commitments in the #health sector emphasise the role of the #G20 in revising the existing financial and global #health governance discussions, note @SanjayPattansh1, Aniruddha Inamdar, Kiran Bhatt & @helmut_brand or-f.org/130656",Positive
252,#G20 countries should consider investing in scaling up private sector engagement models in #health systems. This policy brief outlines how India’s National #Tuberculosis Elimination Programme can show the way. tinyurl.com/4yvz6ybk,Positive
253,"Once the pomp, ceremony & rhetoric have been removed, #AfricanUnion needs to evaluate its readiness to assume greater responsibilities at the global level & analyse how it can optimise its #G20 membership to benefit #Africa: Samir Bhattacharya or-f.org/128789",Negative criticism
254,"The #G20’s focus towards Small Island Developing States needs to be two-pronged, with an emphasis on #debt governance and #climatefinance, posits @soumyabh_swears or-f.org/128833",Negative criticism
255,"Urgent Climate Action is not an option but a question of Earth’s very survival

This was the message that emerged from the Stakeholders Workshop at @IIMAhmedabad where climate experts from India & various G20 nations deliberated on decarbonisation pathways

@moefcc @IDDRI_English",Negative criticism
256,#India drives #G20's focus on achieving 2030 #SDGs! #CircularBioeconomy holds the key to 53 targets across 12 SDGs. Let's lead the way! #SDGs2030 tinyurl.com/24k4rad4,Positive
257,"The prominence of the #G20 and #India’s pivotal role within it holds significant implications for #poverty alleviation, note @DrNilanjanG & @soumyabh_swears or-f.org/128927",Negative criticism
258,"Through a combination of #digital transformation, financing, #sustainable agriculture, healthcare strengthening, and education, the #G20 nations show strong determination towards shaping a sustainable future: @soumyabh_swears or-f.org/128985",Positive
259,"✨ The MoCIIP, through Directorate General for Standards and Metrology, participated in the G20 Summit hosted by Bureau of Indian Standards in New Delhi from November 2nd to 3rd. Various countries and international organizations participated, like @isostandards @IECStandards @ITU",Positive
260,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
261,.@SecBlinken reemphasized the United States’ support for greater African representation in international institutions & congratulated the @_AfricanUnion on achieving permanent membership in the G20.,Positive
262,"Shri Rohit Kumar Singh, Secretary, Department of Consumer Affairs, Government of India, delivered a special address at the G20 Standards Dialogues held at Bharat Mandapam in New Delhi on November 2, 2023. 

#G20StandardsDialogue #ConsumerAffairs",Positive
263,#EmergingHealthcareTechnologies hold great promise for addressing the grand #healthcare challenges faced by the #GlobalSouth. Let us accelerate our efforts through #G20 to advance the #SDGs through innovative approaches to healthcare. tinyurl.com/yf9rj479,Positive
264,"How I wish the  #G20 meet was in Delhi now… we would have found a solution for the pollution. Rest of the time , it is everyone blaming one another. #DelhiAirPollution #FailAgain",Negative criticism
265,Prerana Priyadarshi (@priyadarshipre1) spoke on #India's #G20 presidency and its relevance to #Brazil’s upcoming presidency. (3/6),Positive
266,"#GIBSA was initiated in 2007 by four think-tanks: @SWPBerlin, @CEBRIonline, IPCS, and @issafrica, and has convened annually since.

This year’s focus was #multilateralism and #multipolarity through the prism of #G20, #BRICS and the #GlobalSouth.  (2/6)",Negative
267,"Mr. Pramod Kumar Tiwari, Director General, BIS, Gol delivered the warm welcoming address at G20 Standards Dialogue held at Bharat Mandapam, New Delhi on 2nd November, 2023.",Positive
